1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
3,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
4,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
5,"소녀전선","X.D. Global","kr.txwy.and.snqx"
6,"모두의마블 : 지구대혁명 for kakao","Netmarble","com.cjenm.ModooMarbleKakao"
7,"세븐나이츠 for Kakao","Netmarble","com.cjenm.sknights"
8,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
9,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
10,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
11,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
12,"이카루스M","Wemade Service","com.wemadesvc.icarusm"
13,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
14,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
15,"버닝: 매지컬소드","Eyougame Inc.","com.eyougame.burning"
16,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
17,"프로야구 H2","NCSOFT Corporation","com.ncsoft.h2"
18,"삼국지M","Efun Company","com.efunkr.qy.google"
19,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
20,"클래시 로얄","Supercell","com.supercell.clashroyale"
21,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
22,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
23,"쿠키워즈 (by 쿠키런)","Devsisters Corporation","com.devsisters.crcw"
24,"운명의 사랑:궁","WISH INTERACTIVE TECHNOLOGY LIMITED","com.GF.apcgkrkr.hwyad.google"
25,"위 베어 베어스 더 퍼즐 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
26,"진삼국영웅전","Gamepub","com.gamepub.tks.g"
27,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
28,"액스(AxE)","NEXON Company","com.nexon.axe"
29,"카이저","NEXON Company","com.nexon.kaiserad"
30,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
31,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
32,"글로리","GAMELAND(HK)CO.,LIMITED","com.ulugames.honors.google"
33,"음양사 for kakao","Kakao Games Corp.","com.kakaogames.onmyouji"
34,"피쉬아일랜드: 정령의 항로","NHN PixelCube Corp.","com.nhnpixelcube.fishislandII"
35,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
36,"오버히트","NEXON Company","com.nexon.overhit"
37,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
38,"프렌즈팝콘 for kakao","Kakao Games Corp.","com.kakaogames.friendsKing"
39,"이터널 라이트","GaeaMobile","com.gaeamobile.kr.gmdl"
40,"킹스레이드","Vespa Inc.","com.vespainteractive.KingsRaid"
41,"이사만루2018","Netmarble","com.netmarble.full2016"
42,"애니팡3 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
43,"브롤 로드","PopFox","com.popfox.bzkr"
44,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
45,"러브앤프로듀서","Paper Games","com.papegames.evol.kr.release"
46,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
47,"정상대해전-해상 전쟁 전략 게임","Special Gamez","com.special.warship"
48,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
49,"야망","Skylinegames","com.skylinematrix.ggplay.snkr"
50,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
51,"애니팡2 for kakao","SUNDAYTOZ, INC","com.sundaytoz.mobile.anipang2.google.kakao.service"
52,"해전1942","Sincetimes Co., Ltd.","kr.co.sincetimes.bsg"
53,"짐의강산","JD GAMES","com.jedigames.p20.googleplay"
54,"넷마블 포커 - 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
55,"나이츠크로니클","Netmarble","com.netmarble.knightsgb"
56,"Pokémon GO","Niantic, Inc.","com.nianticlabs.pokemongo"
