1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
3,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
4,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
5,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
6,"모두의마블 for kakao","Netmarble","com.cjenm.ModooMarbleKakao"
7,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
8,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
9,"마피아 시티","YottaGames","com.yottagames.mafiawar"
10,"액스(AxE)","NEXON Company","com.nexon.axe"
11,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
12,"세븐나이츠 for Kakao","Netmarble","com.cjenm.sknights"
13,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
14,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
15,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
16,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
17,"버닝: 매지컬소드","Eyougame Inc.","com.eyougame.burning"
18,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
19,"위 베어 베어스 더 퍼즐","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
20,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
21,"클래시 로얄","Supercell","com.supercell.clashroyale"
22,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
23,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
24,"십만대적검","PangSky","com.pang.sibman.google"
25,"원피스 트레저 크루즈","BANDAI NAMCO Entertainment Inc.","com.bandainamcoent.onepiecetresurecruisekr"
26,"별이되어라!","GAMEVIL","com.gamevil.psrforkakao"
27,"브롤 로드 - 3D방치형 RPG","PopFox","com.popfox.bzkr"
28,"삼국지M","Efun Company","com.efunkr.qy.google"
29,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
30,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
31,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
32,"넷마블 포커 - 바카라, 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
33,"이사만루2018","Netmarble","com.netmarble.full2016"
34,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
35,"복싱스타(Boxing Star)","FourThirtyThree Inc.","com.ftt.boxingstar.gl.aos"
36,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
37,"야망","Skylinegames","com.skylinematrix.ggplay.snkr"
38,"킹스레이드","Vespa Inc.","com.vespainteractive.KingsRaid"
39,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
40,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
41,"프렌즈팝콘 for kakao","Kakao Games Corp.","com.kakaogames.friendsKing"
42,"애니팡3 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
43,"피쉬아일랜드: 정령의 항로","NHN PixelCube Corp.","com.nhnpixelcube.fishislandII"
44,"운명의 사랑:궁","WISH INTERACTIVE TECHNOLOGY LIMITED","com.GF.apcgkrkr.hwyad.google"
45,"오버히트","NEXON Company","com.nexon.overhit"
46,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
47,"크루세이더 퀘스트","NHN Entertainment Corp.","com.nhnent.SKQUEST"
48,"피망 뉴맞고 : 대한민국 1등 고스톱","NEOWIZ corp","com.neowiz.games.newmatgo"
49,"글로리","GAMELAND(HK)CO.,LIMITED","com.ulugames.honors.google"
50,"소녀전선","X.D. Global","kr.txwy.and.snqx"
51,"정상대해전-해상 전쟁 전략 게임","Special Gamez","com.special.warship"
52,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
53,"제5인격","X.D. Global","kr.xdg.and.id5"
54,"꿈의 정원 (Gardenscapes)","Playrix Games","com.playrix.gardenscapes"
55,"캔디크러쉬사가","King","com.king.candycrushsaga"
