1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
3,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
4,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
5,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
6,"모두의마블 for kakao","Netmarble","com.cjenm.ModooMarbleKakao"
7,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
8,"마피아 시티","YottaGames","com.yottagames.mafiawar"
9,"삼국지M","Efun Company","com.efunkr.qy.google"
10,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
11,"액스(AxE)","NEXON Company","com.nexon.axe"
12,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
13,"세븐나이츠 for Kakao","Netmarble","com.cjenm.sknights"
14,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
15,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
16,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
17,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
18,"클래시 로얄","Supercell","com.supercell.clashroyale"
19,"위 베어 베어스 더 퍼즐","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
20,"버닝: 매지컬소드","Eyougame Inc.","com.eyougame.burning"
21,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
22,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
23,"십만대적검","PangSky","com.pang.sibman.google"
24,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
25,"원피스 트레저 크루즈","BANDAI NAMCO Entertainment Inc.","com.bandainamcoent.onepiecetresurecruisekr"
26,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
27,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
28,"별이되어라!","GAMEVIL","com.gamevil.psrforkakao"
29,"브롤 로드 - 3D방치형 RPG","PopFox","com.popfox.bzkr"
30,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
31,"넷마블 포커 - 바카라, 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
32,"이사만루2018","Netmarble","com.netmarble.full2016"
33,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
34,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
35,"킹스레이드","Vespa Inc.","com.vespainteractive.KingsRaid"
36,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
37,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
38,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
39,"야망","Skylinegames","com.skylinematrix.ggplay.snkr"
40,"애니팡3","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
41,"복싱스타(Boxing Star)","FourThirtyThree Inc.","com.ftt.boxingstar.gl.aos"
42,"신명","trigirls studio","com.indie.jzx.kr"
43,"프렌즈팝콘 for kakao","Kakao Games Corp.","com.kakaogames.friendsKing"
44,"피쉬아일랜드: 정령의 항로","NHN PixelCube Corp.","com.nhnpixelcube.fishislandII"
45,"크루세이더 퀘스트","NHN Entertainment Corp.","com.nhnent.SKQUEST"
46,"히어로즈 오브 마이트 앤 매직:에라 오브 카오스","FingerFun Limited.","com.fingerfun.heroes3.kr"
47,"정상대해전-해상 전쟁 전략 게임","Special Gamez","com.special.warship"
48,"오버히트","NEXON Company","com.nexon.overhit"
49,"운명의 사랑:궁","WISH INTERACTIVE TECHNOLOGY LIMITED","com.GF.apcgkrkr.hwyad.google"
50,"글로리","GAMELAND(HK)CO.,LIMITED","com.ulugames.honors.google"
51,"피망 뉴맞고 : 대한민국 1등 고스톱","NEOWIZ corp","com.neowiz.games.newmatgo"
52,"삼국지대전M","HiHO-E","com.efun.krsgzdz.google"
53,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
54,"제5인격","X.D. Global","kr.xdg.and.id5"
